NBHD_NAME,pct_nhb,pct_hh_poverty,pct_hl,pct_less_hs_edu,pct_hh_snap,pct_under5,pct_65plus,pct_unemployed,pct_nhw,pct_no_insurance,alc_to_food,can_to_food,grocery_store_access,street_temp_pctile,transport_noise,tree_equity_score,pct_pre1980_housing,pm25,o3,pm10,no2,so2,co,life_exp,DEPRESSION,STROKE,CHD,SLEEP,CANCER,MHLTH,COPD,CASTHMA,COREM,CHECKUP,DIABETES,CSMOKING,GHLTH,HIGHCHOL,DENTAL,OBESITY,LPA,CERVICAL,BPHIGH,COREW,COLON_SCREEN,KIDNEY,ast_hosp,lbw_pct
Athmar Park,0.903750564844103,14.281427925892453,62.73696339810212,24.111432444645278,10.153479439674651,4.387053773158608,10.05759150474469,7.344464527790329,31.761161319475825,19.411613194758246,1.8,1,9.26430518,0.5234289693593315,49.951233398806295,77.57326896057296,92.27241301400814,8.222228600730116,32.639318,29.76452619690501,21.361879058623416,0.6447909536199385,0.4286341641444236,79.44955537590945,21.91258457374831,2.7688768606224627,4.725169147496618,29.650338294993237,4.5,17.69404600811908,5.59404600811908,10.068876860622463,38.75423728813559,60.54370771312584,9.475507442489851,17.56955345060893,22.90135317997294,30.56292286874154,51.36684709066305,25.88146143437077,26.64506089309878,78.99519436792164,24.08809201623816,34.16101694915254,NA,2.9125845737483083,61.670340811747906,7.1229579831932766
Auraria,8.9,0,19.2,0,0,0,0.7,0,67.1,5.2,0,0,46.66666667,0.5442472527472527,55.63928630242772,79.27306554754973,83.3,8.167203984396163,30.368581,28.946975816083356,20.550046881023658,0.6378211291146663,0.4095850446221971,NA,27.3,0.5,0.8,24.4,1.3,22,1.6,10.6,53.1,54.7,1.2,6.9,6.2,12.7,73.3,12.7,9.5,71.6,6.9,53.5,NA,0.7,0,NA
Baker,4.323299161230195,8.917334575955264,17.987604846225537,6.117148182665424,8.323019571295433,2.6529356943150044,8.282385834109972,1.7763280521901212,68.66570363466916,5.847250698974837,2.33333333333,3.33333333333,64.03762663,0.6806626506024096,56.77133107274326,87.37963552288495,63.386300093196645,8.226329128680407,31.55104500932459,29.671818125920677,21.30154543759132,0.6430021215488269,0.428664351,80.9,22.1,1.6,2.9,26.1,4.3,14.7,3.3,9.3,47.5,60.7,5.5,11.3,11.1,26.4,68.7,20.9,13.7,85.5,18.8,45.1,NA,2,56.474661319073086,8.56948275862069
Barnum,0.2,23.699999999999996,72.8,30.1,6.4,8,8.8,5.700000000000001,21.7,23.9,1,1,0,0.4871806167400881,54.163506174295144,87.20567919942351,91.70000000000002,8.312723972518478,32.451347999999996,29.361274833930477,21.945893130666576,0.6419561751347652,0.44667151323957394,77.5,23.5,2.7,4.7,30.8,4,19.6,6,10.7,36,59.9,10.3,20,25.9,30.2,46.8,28.6,29.2,78.5,24.4,32.7,NA,3,113.269,10
Barnum West,0.5,5.5,72.2,29.7,14.6,2.2,9,4,24.2,15.8,0,1,0,0.465402489626556,57.14557484218052,87.2062542560133,94.9,8.261181785921991,33.13640866110239,29.38298851777586,21.50679917665613,0.6426977063197014,0.43161546618849667,79.5,21.9,3,5.4,29.1,5,17.6,6.1,10.1,38.7,62.1,10.6,17.2,23.9,32.2,51.5,26.4,27.5,78.5,26,35,NA,3.2,110.685,9.551
Bear Valley,5.481506849315068,5.779770058708415,30.461851761252444,7.449706457925636,6.673409980430529,5.977458414872798,21.89711350293542,2.186704990215264,57.06300146771037,4.695376712328767,3,0,36.13505747,0.2636201550387597,54.554994138267226,99.01467446918289,77.59016634050882,7.861145948887475,36.408207,30.332289996710145,20.424145862937596,0.6535402442364286,0.3964967671412412,80.21693705386112,21.441734461438337,2.5717214448421735,4.843442889684348,26.37069638789457,6.458265538561666,15.027253498210218,5.1717214448421744,9.528278555157826,49.62940074906367,64.65929059550928,7.5148226488773195,12.584835665473477,14.942759518385941,31.71653107712333,65.1020501138952,21.527936869508622,18.24275951838594,82.06291925465838,24.687910836316302,43.39812734082397,NA,2.7717214448421736,22.066344581927257,10.774839572192514
Belcaro,2.2,6.8999999999999995,7,0.6,1,3.6999999999999997,33.6,3,82.5,1.8,1,3,58.48477092,0.20341311475409837,52.58797656144968,100,59.4,8.100873902746903,32.39493828325855,30.388533042709863,20.197305325894376,0.6502709130935181,0.38538101115628887,83.3,19.5,2.5,5.1,22.5,9.3,10.8,4.3,8.7,57.3,70,6.5,7.6,9.3,35.2,78,18,11.4,88,27.2,50.3,NA,2.9,17.621,10.28
Berkeley,0.8208105147864184,9.968784227820372,20.59711938663746,3.208094194961665,4.969364731653888,7.089594742606791,13.212135815991237,4.326593647316538,74.67917853231106,4.069945235487404,1.25,0.75,89.21489276,0.2676794871794872,54.95934509765191,93.94861266394734,75.53699890470975,8.161314180097266,31.035161,26.760661739299415,19.86994320662332,0.6241891367283203,0.3420293649423517,79.3137902849136,21.42627222562845,1.989408338442673,3.5894083384426736,24.984319435928878,5.978816676885347,13.4,3.652544451256897,9.063136112814224,52.13401015228427,63.61568056407113,5.7,10.41568056407112,10.678816676885347,29.04195278969957,72,19.868638871857755,13.441952789699569,87.30054849255357,21.07881667688535,44.35482233502538,NA,2.3262722256284487,36.853785778693805,9.132870824053452
CBD,6.895681278341611,17.77315914489311,12.25270999784064,4.2580652126970415,1.3311811703735694,0,6.8967825523645,4.907514575685597,70.31399265817318,2.340855106888361,2,0.333333333333,100,0.5828012422360248,51.73338854264867,76.39549477043002,53.97205787087022,7.979583291561914,30.030465185539217,29.810056959487508,18.251889957037335,0.6410446526666741,0.361196261,76,25.6,1.5,2.7,26.5,3.3,19.1,3.5,10.5,47.8,59.10000000000001,4.6,11.599999999999998,10.900000000000002,23.1,65.3,19.3,13.400000000000002,78.3,16.8,42.89999999999999,NA,1.6999999999999997,20.721246636771298,NA
Capitol Hill,3.2154032258064515,8.172282878411911,13.410955334987593,3.5409057071960297,4.7860235732009935,0.5480583126550868,8.082760545905707,4.160241935483871,73.92604218362283,6.672822580645161,1.28571428571,0.857142857143,100,0.4979949494949495,51.43696187025199,98.27536755158526,83.37508064516129,8.075728131898595,30.42155027478739,29.711057232917156,19.47366000700094,0.6415721794158682,0.3812355459958822,73.19636330241528,23.40476078246523,1.306803362400817,2.3912876109670833,25.760153979102835,3.734048236310786,15.814447325005892,2.8747662817189097,9.364042737057114,52.467954545454546,58.80010212899678,3.9106921203550944,10.286361850891666,8.655298923717497,23.185591955377483,69.97398853012805,19.118398931573573,11.165016890564852,82.59638728041958,16.28746955770288,47.73409090909091,NA,1.5456438054835415,49.40767329087701,11.465084745762713
